asset_id,reading_id,temperature,voltage,current,irradiance,soiling,power_output,condition,actual_condition,fault_type,actual_fault_type,reconstruction_error,anomaly_threshold,actual_anomaly,predicted_anomaly,predicted_condition
P001,1,43.53876249399582,38.22445926901738,7.418613785575432,551.2475880857537,7.406677446676758,283.5725004792989,normal,normal,none,none,0.5905177,1.033187,0,0,normal
P001,2,39.76231281122599,37.15891339740892,7.281085719584778,616.3304466953698,6.020187290499804,270.55723369316155,normal,normal,none,none,0.5434026,1.033187,0,0,normal
P001,3,42.90049032306008,40.50662486795118,8.258559462884977,724.6045231419268,2.781907082306627,334.52637011275016,normal,normal,none,none,0.14288273,1.033187,0,0,normal
P001,4,85.14548129582019,31.283254554894043,3.0207515495539754,662.1917999247127,68.28852288827125,94.49893967178764,abnormal,abnormal,combined,combined,91.21693,1.033187,1,1,abnormal
P001,5,27.318646084503698,37.48358188416732,9.54248309904238,801.8630156834456,8.071282732743802,357.68644662123774,normal,normal,none,none,0.3615576,1.033187,0,0,normal
P001,6,38.40570228636752,41.86557881989685,8.13560313162506,776.0203156366135,8.294046642529949,340.60173415444865,normal,normal,none,none,0.78731483,1.033187,0,0,normal
P001,7,46.54267250776943,39.88676072628381,9.11371550864477,522.9121918278311,2.278982756515469,363.5165898207359,normal,normal,none,none,0.16508111,1.033187,0,0,normal
P001,8,26.994799423090686,38.16395443180515,7.303004288229188,638.9868015550461,6.356844442644002,278.7115228712564,normal,normal,none,none,0.53678244,1.033187,0,0,normal
P001,9,34.254524177922065,38.04753515385744,7.80093346614734,968.327293856247,6.480353852465935,296.80629028614385,normal,normal,none,none,0.029277945,1.033187,0,0,normal
P001,10,29.278466204952423,40.645633989751744,7.490207481285785,689.7277208788239,9.895233506365951,304.4442317916423,normal,normal,none,none,0.8803411,1.033187,0,0,normal
P001,11,38.92374359436616,40.42307125494937,9.528555760569429,887.9999557731223,2.290480719641044,385.1734884662563,normal,normal,none,none,0.3114439,1.033187,0,0,normal
P001,12,32.88632620147705,38.338704379878514,7.63294853075898,971.4548571675272,8.763676264726689,292.63735726759654,normal,normal,none,none,0.17923848,1.033187,0,0,normal
P001,13,41.385966632372,38.97815950530333,9.74364276922163,729.4259262936994,2.6488016649805246,379.7892620214161,normal,normal,none,none,0.14374128,1.033187,0,0,normal
P001,14,39.03420335407877,38.31370804261468,8.753757970670621,948.9114418012384,3.9940050514039727,335.38892716398533,normal,normal,none,none,0.16451107,1.033187,0,0,normal
P001,15,49.93844016237776,39.54763146838232,7.272728236521382,523.5581877123673,1.0964913035065915,287.61917606764564,normal,normal,none,none,0.5513527,1.033187,0,0,normal
P001,16,44.8019841090741,39.11079983399842,7.190583118455871,690.8096432532684,9.961213802400968,281.22945703565574,normal,normal,none,none,0.6904833,1.033187,0,0,normal
P001,17,49.276959440340455,41.30389851117249,7.034443065828459,860.3609096800974,6.817103690265748,290.54992247359974,normal,normal,none,none,0.8821867,1.033187,0,0,normal
P001,18,31.670629748813568,40.20480899289904,7.334656520787629,717.3826253345525,4.537237063292064,294.888464446788,normal,normal,none,none,0.16485795,1.033187,0,0,normal
P001,19,36.58472626877727,34.50293056525149,4.5359556415903945,965.0511357379282,18.057778547551504,156.50376254885416,abnormal,abnormal,power_degradation,power_degradation,4.4159956,1.033187,1,1,abnormal
P001,20,40.97373737165013,40.04485105719086,7.458517805648904,881.2554000375756,5.393790301196257,298.6752346346164,normal,normal,none,none,0.23461556,1.033187,0,0,normal
P001,21,47.96233735989256,34.79155667568183,5.465817124086843,555.9338626604475,5.444711507714003,190.16428625157968,abnormal,abnormal,partial_shading,partial_shading,3.179129,1.033187,1,1,abnormal
P001,22,72.68785313506653,25.52132649844769,4.634028797612121,978.7797781191975,33.42613808271515,118.26656194706791,abnormal,abnormal,combined,combined,27.15045,1.033187,1,1,abnormal
P001,23,26.73031296170959,40.80301082628616,9.297503287920964,564.1957322498814,4.752823780987313,379.3661273144703,normal,normal,none,none,0.6484607,1.033187,0,0,normal
P001,24,31.62641572350148,41.36216520542629,8.269413820602662,605.899102721041,5.392960887794583,342.04086059980267,normal,normal,none,none,0.37631273,1.033187,0,0,normal
P001,25,30.0287765847424,38.55858145650448,9.985448069982684,824.9390288197267,4.381000839145041,385.02471278612273,normal,normal,none,none,0.24931039,1.033187,0,0,normal
P001,26,28.025104896706644,38.123486685157786,8.014256686442366,794.1543592286166,2.30114732596577,305.53140807702226,normal,normal,none,none,0.42660213,1.033187,0,0,normal
P001,27,26.77482715022581,40.155514786350494,7.686825351433463,952.710006503064,8.596354002537465,308.66842905958026,normal,normal,none,none,0.76042026,1.033187,0,0,normal
P001,28,30.95011585922488,40.3448888914814,7.642710422111316,566.1559243625125,9.35514240580671,308.344302809848,normal,normal,none,none,0.79789835,1.033187,0,0,normal
P001,29,36.81677565779485,40.923097121453765,9.422490993299933,595.2049571809389,0.9693081422882333,385.5975140448364,normal,normal,none,none,0.21768863,1.033187,0,0,normal
P001,30,35.58946557549802,39.33512334018337,9.187227548379552,836.6822736466507,9.84165211365966,361.3807287698402,normal,normal,none,none,0.40443817,1.033187,0,0,normal
P001,31,35.06553205255672,38.69651302697481,9.585017609058372,624.3281669601429,1.902089084408115,370.9067587727103,normal,normal,none,none,0.26159528,1.033187,0,0,normal
P001,32,35.5470409958601,38.3927257233347,7.749419343646301,961.6327996380064,4.43130745053457,297.52133137571684,normal,normal,none,none,0.10914311,1.033187,0,0,normal
P001,33,27.447718205040008,35.21715915198818,5.621763814300915,507.3789282478253,1.398941642757539,197.98255096312343,abnormal,abnormal,partial_shading,partial_shading,3.0632603,1.033187,1,1,abnormal
P001,34,69.15777776509785,34.91384675270431,5.641241897597545,760.416117019781,0.8795309995826839,196.95745510765556,abnormal,abnormal,overheating,overheating,5.87652,1.033187,1,1,abnormal
P001,35,49.63272109449315,38.32601529086076,9.352211805845709,727.5041836695716,4.230074859901629,358.4330126742112,normal,normal,none,none,0.47491705,1.033187,0,0,normal
P001,36,78.89420808514046,31.465674477666933,2.464390475822192,718.6831301978257,68.74837459876636,77.54370849808382,abnormal,abnormal,combined,combined,90.65057,1.033187,1,1,abnormal
P001,37,38.554880034356856,40.73987780189532,7.171495818722449,792.0887972294856,5.028503829195135,292.16586331155577,normal,normal,none,none,0.16076557,1.033187,0,0,normal
P001,38,66.42198949321711,35.04697098196051,7.554027636032364,627.4085330815169,1.0194129506363585,264.74578735695405,abnormal,abnormal,overheating,overheating,4.5896616,1.033187,1,1,abnormal
P001,39,32.9971653486781,41.34172388477663,2.7386460433658746,837.8076614133765,9.290722654981549,113.22034854296798,abnormal,abnormal,low_current,low_current,7.0253997,1.033187,1,1,abnormal
P001,40,39.591807232280615,39.613913577659794,9.804118773209282,602.1295997117683,7.161918007894148,388.3795137870245,normal,normal,none,none,0.24847847,1.033187,0,0,normal
P001,41,34.89464616978136,40.358451114799855,7.899991239396287,658.088598135927,7.518644924144021,318.83141024252217,normal,normal,none,none,0.26888618,1.033187,0,0,normal
P001,42,36.457138065464655,41.99227220427221,9.988289343565285,536.6303605498165,2.131543122670404,419.4309649700248,normal,normal,none,none,0.22053887,1.033187,0,0,normal
P001,43,48.331484449842726,41.404320868432194,9.637810727453628,684.763544369442,1.5774683235723197,399.04700782870793,normal,normal,none,none,0.36118528,1.033187,0,0,normal
P001,44,37.562928574472245,36.91926655125741,6.4212998297954265,811.576277040908,15.017948055688754,237.0696800217612,abnormal,abnormal,power_degradation,power_degradation,1.7320327,1.033187,1,1,abnormal
P001,45,48.293900985901935,37.517932509591056,9.634380894920776,632.2329607435638,8.897127070057092,361.4620521873312,normal,normal,none,none,0.9848115,1.033187,0,0,normal
P001,46,28.88619774437476,38.40878135728947,7.631888964420829,671.4401438966293,6.874971288013305,293.13155457755,normal,normal,none,none,0.36748195,1.033187,0,0,normal
P001,47,37.21329630373441,37.242691928634585,6.538311139884566,546.1492338563667,6.353636588455895,243.50430751628053,abnormal,abnormal,partial_shading,partial_shading,0.76811457,1.033187,1,0,normal
P001,48,25.08864222719456,40.85559611509814,8.911340131904138,630.9776312171741,7.412309083479308,364.0781132733408,normal,normal,none,none,1.016914,1.033187,0,0,normal
P001,49,35.692172974516986,37.0483484980417,7.225731580221301,941.5531966500714,9.03928571559893,267.7014217373443,normal,normal,none,none,0.15786384,1.033187,0,0,normal
P001,50,45.86487549715042,39.91254783244897,7.444281356702448,563.7227596410694,3.082583499301337,297.1202357275946,normal,normal,none,none,0.15005241,1.033187,0,0,normal
P001,51,89.30490662543151,25.35905390300096,3.0734276967512786,872.8266753242306,56.67733642542172,77.93921862889177,abnormal,abnormal,combined,combined,69.71223,1.033187,1,1,abnormal
P001,52,38.99708797859674,41.37356361770546,9.921511067911869,874.7388055717697,9.257638225695564,410.4882693520205,normal,normal,none,none,0.24031495,1.033187,0,0,normal
P001,53,29.062544177510965,40.99943514953448,7.531157110961144,706.1472051768986,1.79360663418207,308.7731875718069,normal,normal,none,none,0.56267905,1.033187,0,0,normal
P001,54,88.27039715120814,32.22011625043425,4.592192085125838,924.2997266297556,40.67222838377888,147.96096282707856,abnormal,abnormal,combined,combined,35.86926,1.033187,1,1,abnormal
P001,55,39.56354306492336,34.23234764599472,5.412070063257971,599.786415012876,66.7380760491798,185.26786388992755,abnormal,abnormal,soiling,soiling,72.5133,1.033187,1,1,abnormal
P001,56,45.513409524289045,41.35661517931504,7.668770641617427,830.0165913743144,3.984659785647835,317.1543963238008,normal,normal,none,none,0.5204572,1.033187,0,0,normal
P001,57,26.735518866570494,40.866633187201806,8.053438387248256,754.7028377640187,6.795181183602637,329.1169124674046,normal,normal,none,none,0.6816888,1.033187,0,0,normal
P001,58,58.17711420974148,25.92273401481142,8.911201833066684,589.2839080862318,14.438014736423332,231.0027148708876,abnormal,abnormal,low_voltage,low_voltage,13.993,1.033187,1,1,abnormal
P001,59,27.710063680367774,39.17281879282322,9.185635181958112,656.8386570974956,6.0620885330614325,359.8272224798269,normal,normal,none,none,0.42360523,1.033187,0,0,normal
P001,60,34.629885833618175,39.882940217483,7.7641675184157455,854.3926419170853,0.0169127821862946,309.6578289754985,normal,normal,none,none,0.65656775,1.033187,0,0,normal
P001,61,42.17142867286317,37.522104963180425,6.211113080470901,598.5175645508672,6.469460994374804,233.0540369436121,abnormal,abnormal,partial_shading,partial_shading,0.7270863,1.033187,1,0,normal
P001,62,48.694662298392274,30.30709981012436,6.373875946993104,950.0234175485456,7.606837560529037,193.1736945028709,abnormal,abnormal,low_voltage,low_voltage,4.1463675,1.033187,1,1,abnormal
P001,63,33.154572621434994,40.486042070972,8.663237433000381,595.9200464950737,6.649294342127715,350.7401951832729,normal,normal,none,none,0.3087368,1.033187,0,0,normal
P001,64,43.703364003972254,37.87013671604972,8.707315764597428,703.0375843790814,8.337251693040574,329.74723843511964,normal,normal,none,none,0.47763515,1.033187,0,0,normal
P001,65,30.25456712206605,40.928794137387904,8.819984711439288,661.1246148682691,4.417860168379529,360.99133854940726,normal,normal,none,none,0.37462047,1.033187,0,0,normal
P001,66,37.77934992186468,40.96867699553001,9.87949601104911,867.980722970111,6.588507449984218,404.7498809552982,normal,normal,none,none,0.059929516,1.033187,0,0,normal
P001,67,41.596345907624965,40.09630402681188,7.280161600226688,975.9998312262376,2.34868598526684,291.90757288701053,normal,normal,none,none,0.6636231,1.033187,0,0,normal
P001,68,45.16407236440665,37.73676981122886,7.138641154278275,991.9680113909258,6.112739730606801,269.3892580039644,normal,normal,none,none,0.4477646,1.033187,0,0,normal
P001,69,40.36102527494298,39.77859228442628,2.583305710219128,878.541700196202,7.415657535156554,102.76026459283696,abnormal,abnormal,low_current,low_current,7.050705,1.033187,1,1,abnormal
P001,70,41.4014502777946,37.02772409069016,9.25289342985542,885.0230942870126,1.0658729656353894,342.61358496124615,normal,normal,none,none,0.6232306,1.033187,0,0,normal
P001,71,29.39716704266329,41.7898302113977,8.553873251331222,525.1091925703205,2.491982796599717,357.4649108229482,normal,normal,none,none,0.57864,1.033187,0,0,normal
P001,72,33.33347763892572,38.78785942498942,3.593395657566766,823.5701161487469,4.759469361980214,139.38012562406715,abnormal,abnormal,low_current,low_current,3.9173543,1.033187,1,1,abnormal
P001,73,45.31630806904407,40.3156437676558,3.514334494473206,932.227667888566,8.218079259162426,141.6826575595665,abnormal,abnormal,low_current,low_current,4.6963444,1.033187,1,1,abnormal
P001,74,51.53737274458156,34.25034878623454,6.255330359501535,935.9451551367684,9.159670296961108,214.24724658604947,abnormal,abnormal,power_degradation,power_degradation,2.1241927,1.033187,1,1,abnormal
P001,75,45.66871092454453,37.64758468150523,2.232450061594208,714.291260345261,4.075726606232769,84.0463527410995,abnormal,abnormal,low_current,low_current,8.904872,1.033187,1,1,abnormal
P001,76,38.50380556296141,37.69187030758078,7.693784439184561,846.9749061495261,7.064191416945523,289.9931252562276,normal,normal,none,none,0.090928145,1.033187,0,0,normal
P001,77,35.18998424166467,39.713055702519576,8.247322702309468,603.4171947572052,4.201435177734256,327.5263858734702,normal,normal,none,none,0.084290855,1.033187,0,0,normal
P001,78,48.65155083975252,30.156255653901816,6.6419700182734704,787.8451734050401,7.154695988360354,200.2969459166057,abnormal,abnormal,partial_shading,partial_shading,5.0296407,1.033187,1,1,abnormal
P001,79,52.60425375178158,31.827583604552835,8.860291015410318,709.5106413149109,11.21273503467076,282.00165305364027,abnormal,abnormal,low_voltage,low_voltage,4.5622225,1.033187,1,1,abnormal
P001,80,40.08131472353104,38.10269347161909,7.658264903864309,717.9179880233182,0.2902481994671524,291.8005201564002,normal,normal,none,none,0.5856147,1.033187,0,0,normal
P001,81,41.97854712570874,39.021583345688185,7.495134193610527,733.6950746161551,1.276277972811607,292.4720036230906,normal,normal,none,none,0.3222374,1.033187,0,0,normal
P001,82,25.67416129762844,38.970101281698525,8.693175949074323,513.5510231701562,6.427496480093358,338.7739471950521,normal,normal,none,none,0.9106471,1.033187,0,0,normal
P001,83,36.54246110128779,37.251423167443136,8.13731159256442,605.8301421057407,3.268458048813085,303.1264375799578,normal,normal,none,none,0.5364066,1.033187,0,0,normal
